Probability,Probability (%),Risk,Prediction,MonthlyCharges,TotalCharges
0.6530765947940739,65.30765947940739,Risky,Yes,29.85,29.85
0.07999028257191941,7.999028257191941,Not Risky,No,56.95,1889.5
0.45819784731928903,45.819784731928905,Low Risky,No,53.85,108.15
0.11579564016696736,11.579564016696736,Not Risky,No,42.3,1840.75
0.8093662221589419,80.93662221589419,High Risky,Yes,70.7,151.65
0.7684285387201262,76.84285387201261,High Risky,Yes,99.65,820.5
0.23087127517988631,23.08712751798863,Not Risky,No,89.1,1949.4
0.18036430506869064,18.036430506869063,Not Risky,No,29.75,301.9
0.2513937706392402,25.139377063924016,Low Risky,No,104.8,3046.05
0.15251815652667258,15.251815652667258,Not Risky,No,56.15,3487.95
0.14714817599863605,14.714817599863606,Not Risky,No,49.95,587.45
0.03804290240414652,3.8042902404146517,Not Risky,No,18.95,326.8
0.15671403462447683,15.671403462447683,Not Risky,No,100.35,5681.1
0.17052374896257513,17.052374896257515,Not Risky,No,103.7,5036.3
0.1963886306297625,19.63886306297625,Not Risky,No,105.5,2686.05
0.15669562728365644,15.669562728365644,Not Risky,No,113.25,7895.15
0.12748923055803574,12.748923055803573,Not Risky,No,20.65,1022.95
0.15741842335245876,15.741842335245876,Not Risky,No,106.7,7382.25
0.19800864109973373,19.800864109973375,Not Risky,No,55.2,528.35
0.26575489097412286,26.575489097412287,Low Risky,No,90.05,1862.9
0.7474931288081892,74.74931288081892,Risky,Yes,39.65,39.65
0.053715114405930194,5.37151144059302,Not Risky,No,19.8,202.25
0.1985589174448671,19.85589174448671,Not Risky,No,20.15,20.15
0.15238658878570516,15.238658878570515,Not Risky,No,59.9,3505.1
0.12365123164034011,12.365123164034012,Not Risky,No,59.6,2970.3
0.09167384261562485,9.167384261562486,Not Risky,No,55.3,1530.6
0.18570286690141063,18.570286690141064,Not Risky,No,99.35,4749.15
0.5828599965554127,58.28599965554127,Risky,Yes,30.2,30.2
0.1589923945502538,15.899239455025379,Not Risky,No,90.25,6369.45
0.1900174196265825,19.00174196265825,Not Risky,No,64.7,1093.1
0.15781414307039313,15.781414307039313,Not Risky,No,96.35,6766.95
0.8576512839941064,85.76512839941064,High Risky,Yes,95.5,181.65
0.05764618907625848,5.764618907625848,Not Risky,No,66.15,1874.45
0.21985559084351047,21.985559084351046,Not Risky,No,20.2,20.2
0.6257565848179097,62.575658481790974,Risky,Yes,45.25,45.25
0.15863897401184734,15.863897401184735,Not Risky,No,99.9,7251.7
0.702473857153089,70.2473857153089,Risky,Yes,69.7,316.9
0.157175973084057,15.7175973084057,Not Risky,No,74.8,3548.3
0.22489438617090776,22.489438617090777,Not Risky,No,106.35,3549.25
0.6243347037700145,62.433470377001456,Risky,Yes,97.85,1105.4
0.17501994629779302,17.5019946297793,Not Risky,No,49.55,475.7
0.15748063607592308,15.748063607592307,Not Risky,No,69.2,4872.35
0.03404726887554662,3.404726887554662,Not Risky,No,20.75,418.25
0.15500871013183223,15.500871013183223,Not Risky,No,79.85,4861.45
0.24251073356810282,24.25107335681028,Not Risky,No,76.2,981.45
0.1790695564649067,17.90695564649067,Not Risky,No,84.5,3906.7
0.482833028082896,48.283302808289605,Low Risky,No,49.25,97.0
0.8416469981119442,84.16469981119442,High Risky,Yes,80.65,144.15
0.1451773836103414,14.51773836103414,Not Risky,No,79.75,4217.8
0.15741135392145703,15.741135392145702,Not Risky,No,64.15,4254.1
0.19644963736616375,19.644963736616376,Not Risky,No,90.25,3838.75
0.3187662064431245,31.876620644312446,Low Risky,No,99.1,1426.4
0.12623561236027295,12.623561236027294,Not Risky,No,69.5,1752.65
0.6315743618685017,63.15743618685017,Risky,Yes,80.65,633.3
0.1501972345678961,15.01972345678961,Not Risky,No,74.85,4456.35
0.47017549824835664,47.01754982483566,Low Risky,No,95.45,1752.55
0.1572356999199783,15.72356999199783,Not Risky,No,99.65,6311.2
0.15811591026605737,15.811591026605736,Not Risky,No,108.45,7076.35
0.06481922221381022,6.481922221381022,Not Risky,No,24.95,894.3
0.15869743794306537,15.869743794306537,Not Risky,No,107.5,7853.7
0.19305590404657066,19.305590404657067,Not Risky,No,100.5,4707.1
0.15780339979796099,15.780339979796098,Not Risky,No,89.9,5450.7
0.15874816816757428,15.874816816757429,Not Risky,No,42.1,2962.0
0.09855492865577856,9.855492865577856,Not Risky,No,54.4,957.1
0.6946851853681562,69.46851853681562,Risky,Yes,94.4,857.25
0.637174848956333,63.717484895633305,Risky,Yes,75.3,244.1
0.16921701242132586,16.921701242132585,Not Risky,No,78.9,3650.35
0.0920521309483171,9.20521309483171,Not Risky,No,79.2,2497.2
0.12244423963202525,12.244423963202525,Not Risky,No,20.15,930.9
0.37329277952516854,37.329277952516854,Low Risky,No,79.85,887.35
0.49323700015206573,49.323700015206576,Low Risky,No,49.05,49.05
0.13715341861776642,13.715341861776642,Not Risky,No,20.4,1090.65
0.15692367484497124,15.692367484497124,Not Risky,No,111.6,7099.0
0.15657399545660008,15.657399545660008,Not Risky,No,24.25,1424.6
0.465942176195825,46.5942176195825,Low Risky,No,64.5,177.4
0.16024735582567803,16.024735582567804,Not Risky,No,110.5,6139.5
0.13384852378072074,13.384852378072074,Not Risky,No,55.65,2688.85
0.2065105788208068,20.651057882080682,Not Risky,No,54.65,482.25
0.14229771747717493,14.229771747717493,Not Risky,No,74.75,2111.3
